tweet_id,customer_text,gold_intent
1172681,@115821 please quit using @118706 for Sunday delivery. 1st. My package delayed for weather. It’s 80 here. 2nd. Can’t gain access to Door,delivery_delay
1047279,"i preordered Singstar, Sony say it's delayed but amazon still have it as coming Wednesday, make ur minds up",delivery_delay
1037291,@115850 refund our money order no 405-0964730-6462756 @123288,refund_request
1002563,Few days back i was confident that amazon was best.. but recent experience has changed everything.. @115850 has degraded its service,other_unclear
1117079,@115850 @115850 You have promised to deliver replacement product till 16th. Stick to your words. Your frustrated customer is waiting for his order,delivery_delay
1159356,@AmazonHelp Still haven't received my refund.,refund_request
1085133,@AmazonHelp I did. There's no email from @115821 how to unlock my account. It's been days.,account_access
1151845,@AmazonHelp need help getting a refund on Amazon Seller charge. Please advise,refund_request
1122280,@115850  No response since it has been around 10 days I have given the Charge Dispute reference no. to your team. Since 3 Months no refund,refund_request
1001079,"@115850 where is obsens in my review ,why you not face reality. Look all how Amazon ignore reality.i am sharing some ss ,look all",other_unclear
1003717,@AmazonHelp Still the same issue can you fix it asap before the offer ends,other_unclear
1005048,"@AmazonHelp It's ok, I think I'll leave it. Im just glad I made it back when I did 😩only bad experience I've had. Is there a way to set a safe place on-",other_unclear
684778,"@AmazonHelp Sorry I can I log in, will reach out shortly",account_access
1043714,"@AmazonHelp Your csr is saying that it is very kind of amazon that you are being delivered your product otherwise, you can take refund.",refund_request
1003725,@AmazonHelp @115850 still waiting for the solutions...,other_unclear
1141495,@115821 I bought a two pieces of t shirt by debit card sbi but you can't refund me offers 10 percent.,refund_request
1102278,"Finally bought the Amazon Prime membership just to watch @12154's Laakhon Me Ek series. Too good. 

@119625 @117795",prime_membership
1724911,@AmazonHelp This is what I’m talking about. Second package this week delayed. And missing the delivery window.,delivery_delay
1005114,@AmazonHelp Not interested in your apologies at all   Time to take some serious action 😡,other_unclear
1004445,Ordered my @152044 #Honey on Vinyl from @115821 but got #BingCrosbyChristmas instead :’( got my MERRY CHRISTMAS II YOU vinyl tho!,other_unclear
1051929,"@AmazonHelp Order 
202-0668226-2705165 is now over 10 days late for delivery. Please can you cancel and refund item. Many thanks.",cancellation_request
1051934,@AmazonHelp thanks for your help! I've been offered a refund :) I won't be using sellers who post via @244842 again though!,refund_request
1109482,@AmazonHelp already taken 4 time customer support from you. No one able to help finally they come to refund which i want. if u can't then don't sealing,refund_request
1136582,@AmazonHelp The guy came to pick up and said he cant bcoz the screen is damaged.,damaged_item
1122847,@115850 @115821 I have received the ORDER # 402-9389284-8265946 but it shows undelivered. Spare the refund as I have already received it.,refund_request
2176458,@AmazonHelp Sent. hope you respond by today and as said and 100% assured by ur team waiting for product delivery TODAY. Very much disappointed!,delivery_delay
1082228,"@AmazonHelp Thanks, have filled in a contact form. Is there any way to freeze the account in the meantime? I have the 'rogue' address.",technical_support
1098667,@AmazonHelp I reported but got the same response. It's in process. Even after 13 days after pickup refund has not been done,refund_request
1004642,@115830 this is a lot of packaging for a small item!,other_unclear
1147883,"@115850 @AmazonHelp 
worst service..my product to be deliver before diwali but still not deliver, expected date already over.",delivery_delay
1117989,@AmazonHelp I'm going to have to cancel it.,cancellation_request
1148373,@AmazonHelp It hasn't arrived it's passed 8,delivery_delay
1175629,"@AmazonHelp Asked for confirmation of a refund and all I got was ""my colleague will be in touch with you"". Not the response I need or want.",refund_request
1000154,@AmazonHelp Is your company bound to destroy people's diwali celebration? You can't deliver a package ever after 5 days of expected delivery,delivery_delay
1033083,"@AmazonHelp Sorry to say I've been let down again. Spent all of my only day off waiting for this. Should have been delivered Thursday. 
Not good enough",missing_delivered
1038504,forgot to cancel my free trial of amazon prime and it just charged me $100 ummm fuck,cancellation_request
1003583,@115821 I bought some chargers under the assumption they will arrive in two days not Monday???,other_unclear
102904,Day 3# Day light Robbery by Amazon #Delivered Fake Bose Speakers #Not interested in replacing to orginal product #@115851 Solve my problem @AmazonHelp can't solve.They don't have power. @118342 @119341,missing_delivered
1054779,@115850 order 406-5346056-8286767 I want a refund for the product.,refund_request
1002878,"@AmazonHelp Prime item ordered thurs “attempted delivery” fri but they didn’t as I was there 7am - 6pm, promised delivery yesterday and never happened",other_unclear
1019610,@AmazonHelp The last tracking scan was a departure scan at 1:56PM on the 12th. It hasn't been updated since.,delivery_delay
1002574,@357316 @115850 Doesn’t show that on their app. Just says out for delivery!,other_unclear
1031096,@AmazonHelp What's to escalate? I wait or cancel order? Any way to flag our account to never use AMZL? Driver's rude to building security or like about delivery attempts. No issues with @115817 cuz they are professional.,cancellation_request
105050,@AmazonHelp cheers for the damaged Pukka pads and an insult in response. Absolutely fab.,damaged_item
1057325,"@115821 why are you refusing to replace the tv I paid for when you delivered it broken? Absolutely terrible and greedy service, poor exp",damaged_item
1131322,"@115850 ordered diapers on 18 Oct, Amazon prime menber, delivery delayed to 1 Nov? Y this delay? PATHETIC SERVICE ! HORRIBLE.",delivery_delay
1104618,Uhhhhh @117634 I accidentally hit buy with one click for a kindle book and y’all won’t let me refund it.,refund_request
1000198,"@AmazonHelp Nothing else other than it was delayed to Oct 20-24, but I had to look that up in my orders since I didn’t receive it on the 20 th",delivery_delay
1130569,@115821 every month my card gets charged for purchases I don’t use!!! Getting ready to cancel my amazon prime! 😡,cancellation_request
1041826,"@AmazonHelp Wait! That’s freaky… It worked literally when you tweeted… Must just have needed the same password 30 times! All sorted now, I think!",account_access
1043221,"@AmazonHelp 1st i didn't get my no cost emi
Next i didn't get the product delivered on time even after paying prime cost
3rd the divice is not working",missing_delivered
1016794,@AmazonHelp Still refund amt is not credited 😐 #AmazonGreatIndianFestival,refund_request
1118592,"@AmazonHelp Thank god I didnt pay for this in Advance, you would've looted me and given me dates and dates to refund!",refund_request
1004568,"@2600 Bonjour, j'ai un gros problème là avec ma commande d'amazon coins et de la réduction black friday. Serais-ce possible d'en discuter en MP ?",other_unclear
1125178,"Okay so @115821 have the absolute right to block your account for no reason but when you want to close the account they ask you to LOGIN to your account...
HOW ? HOW AMAZON ? I can not login !",account_access
1128083,"@AmazonHelp Hi, so I sent it back with parcelforce. It got delivered 10am today (26th October) how long does it take for a refund to process?",refund_request
114347,@AmazonHelp It states I'm not a member but my bank is showing a pending payment to you dated from the 20th. Stating Amazon prime membership fee ....,prime_membership
1069897,"@AmazonHelp Each of my last 7 Prime order have been delayed by at least 2 additional days, and any compensation I've been offered has been revoked.",delivery_delay
1049143,@AmazonHelp can i get a refund for my purchase of #cuphead via @115821? i got scammed and there's nothing i can do about it... smh...,refund_request
1073354,@AmazonHelp He offered to cancel the order. That solves everything right?you cant find item and cancel,cancellation_request
1159275,@115821 so I had amazon student in 2011 and now it’s 2017 and I’m barely getting charged for a student account. Also I have a regular prime account? How does that work? Where’s my emailed receipt?,prime_membership
103002,@115830 I used the online chat function on the website in the end. The lady who I chatted with (Joslin) was very helpful and has hopefully resolved the issue so everything comes tomorrow. Really happy with the customer services offered once I found it! 👍,technical_support
1138370,"I don't vent much, but wow, @115821 delivery is terrible. For the 2nd time in 3 months, my ""delivered"" package was not received. Unreal.",missing_delivered
1023617,@362226 @AmazonHelp Amazon delivery tracking is the biggest joke. No excuse for not using real time tracking and giving an accurate delivery window. Proper couriers manage it and have done for quite a while!,delivery_delay
1058810,@AmazonHelp Again received worthless product.. irritating.. never choose again...money n time waste... refund done.. Thanks 😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣,refund_request
1022555,@AmazonHelp In both instances I was near the locker location when it was actually delivered; no where near it when I checked the package progress.,delivery_delay
1016400,"@AmazonHelp Yes, you have. I've been indoors all day waiting for my order that @116324  / @115830 clearly had no intention of delivering.",delivery_delay
1108247,"WTF @115821 your delivery service sucks. 2-day delivery was supposed to be here today. Last tracking update was 11/4.
Where’s my stuff?",delivery_delay
1107264,@AmazonHelp I've never had issues in the 8 years I've been a prime member and this year I've had multiple delayed orders.,delivery_delay
1127355,@AmazonHelp Me acaban de notificar un refund. Lo que necesito son las baterias para el equipo de mi madre enferma. ¿Que pasó? Que responda @UPSHelp,refund_request
1011662,Another @127161 delivery that has arrived badly damaged. No choice but to return them. #notimpressed cc: @AmazonHelp,damaged_item
1000127,@43895 watching Loveless on Amazon prime cuz of your VIFF review &amp; the subtitles are weird &amp; some of it is censored? @116618 ???,other_unclear
1161710,@115850 @AmazonHelp @119351  amazon-y r u nt giving my refund??more than month.pathetic service##dontshopamazon##boycott,refund_request
1119336,@118919 poor service and i complaint regarding my 10.or g display damaged in 6 days  they not given replace product they block my no.,damaged_item
1043207,@115851 One of the most pathetic customer service offered by your firm. @115850 ORDER # 403-7127496-8848312 found defective.,damaged_item
1037602,"@AmazonHelp Yes, I did not receive the item, which I NEEDED Monday, btw. How do I get a refund for item not delivered?",refund_request
105018,@AmazonHelp if an item is damaged and I want to return it who pays the postage to return it. The buyer or seller,damaged_item
101743,@AmazonHelp I bought an item last week and now it’s selling half price. I want to return and reorder or do you just want to refund me the difference?!,refund_request
1037616,"@115850 Prod not received yet, ORDER # 408-2943187-7385924 bt prod details shows 'Delivered on 21.10.17'. Look into the matter plz",missing_delivered
1012311,@AmazonHelp it says refund issued on 14th Oct but I haven't received it yet,refund_request
1108340,"@AmazonHelp hell of an experience shopping at amazon,u guys are either masters in stupidity or making same out of customers,missing deadlines one after another,waiting for my refund from last 5 days. #Ridiculous #beggers",refund_request
1118026,"@AmazonHelp @3375 @3375 just now delivered. 1) was supposedly rescheduled,  2) No knock/ring, 3) it's midnight not 8p, 4) #PackageThieves ¯\_(ツ)_/¯",missing_delivered
1002651,"@115850 missed the counting... 
#shopwalafeeling #AmazonGreatIndianFestival #onlineshopping",other_unclear
11046,@AmazonHelp at 7 it said it was out for delivery by 8 pm. It now says sorry for your package being late and will arrive by November 3rd,delivery_delay
1004393,@115850 customer service and refund procedure sucks. Wasted 1.5hrs and 45mins of my life and yet did not get any solution. Horrendous.,refund_request
1075373,@AmazonHelp Bluedart's website says that shipment has already arrived at Ghaziabad Hub on 19th Oct.Give my refund asap!!This is unacceptable @115851,refund_request
1120435,"Hi @117634 I just purchased the Fire HD 8"" and all good so far except the @15778 app gives an Unable to download error. Can you help?",technical_support
1046064,"@115850 Order # 402-5479722-9566747, wrong item received, no refund required, need my product at earliest,,",refund_request
1147796,@115850 I had ordered cricket gloves two days ago and then i received a mail saying i had requested a cancellation even though i did not. I had already paid for the order online. Please help me with this problem.,cancellation_request
1039535,"Ugh. I just realized, I forgot to cancel my free trial of @115821 Prime so now, $79 later, I’ve got that for a year. 😒",cancellation_request
1152570,@AmazonHelp Was promised a refund on webchat and now you've rescinded on it. Only option is now a MasterCard dispute if you are unwilling to fix this.,refund_request
1034259,@AmazonHelp Yes! I have two smart TVs with my Amazon Prime Account set up on them and I haven’t been able to watch the show in a few months!,prime_membership
1101018,Lol all 4 of my @115821 orders say that they’ve been delivered but they’re not at my apartment or in my mailbox??,missing_delivered
1001075,"@AmazonHelp Thank you, I have done so.",other_unclear
105165,@115830 appalling customer service. Appalling delivery system. Two items apparently delivered but NOT. Why are there no supervisors or managers available? Prime membership seems to mean nothing to @115830,prime_membership
1061368,@AmazonHelp What's the result till now except refund?,refund_request
1108239,@138673 @115850 Customers i strongly suggest dont by this product or any electronic item from amazon.i received a nokia 6 on 6th Nov defective. Now struggling for return since last 5 hrs over call and chat.. customer support and mobile team do not have any co-ordination.,damaged_item
1005039,Ordered something on @115821 for $13 (sale price)and they didn’t honor the price they listed. This guy is mad😡 @120330 @134046 @136083,other_unclear
1010388,"@AmazonHelp delayed by one day, delivered at wrong address, no coordination of ATL &amp; call center, no use of Amazon Prime",delivery_delay
1085338,@AmazonHelp Could you send me a link listing all prime benefits ?,prime_membership
1025568,"@AmazonHelp I've cancelled the membership, will the money go back into my account?",refund_request
1000197,"@AmazonHelp Also, I saw that the package location wasn’t updating and the last/only thing posted was “package has left seller facility”",other_unclear
1000980,"@AmazonHelp @356980 Hii amazon, i got a call from ur side n unfortunately missed it.. can u plss call back n let me know what was it call about...",other_unclear
1077774,"Amazon, honey, I do not pay for prime so that AMZL can mark things as delivered, not deliver, and then mysteriously drop them off 2wks later.",missing_delivered
1143545,@AmazonHelp I don't believe its a device or account  issue. Happy to be proven wrong.  Amazon can surely check the subtitle files against video content,technical_support
1002555,@115850 i ordered a product&amp; was to get 15% cashback on it within 72 hrs. But already 5 days hv passed didn't received a single penny,other_unclear
1005125,#AmazonUnlimited is annoying. So many classic songs are do-overs by artists who changed labels and redid their own hits. Sucks. @AmazonHelp,other_unclear
1050430,"Come on, Amazon - 50 percent of the CDs I’ve ordered this month come with broken/cracked cases. There must be a smarter way to ship than bubble wrap envelopes that don’t protect them. @AmazonHelp @115851 #amazon",damaged_item
1108256,"@115850 care to explain when can I expect the delivery. I am following since yesterday and was told by mistake it is showing delivered &amp; will be delivered before cob 8th. Is not cob over today? 
#pathetic #service #Amazon",missing_delivered
1001964,"@AmazonHelp Bummer, would be a great feature for Amazon Fresh",other_unclear
1132129,@AmazonHelp someone used my email to open an account. Called CS months ago &amp; was told it would be resolved. It hasnt. What can be done here?,account_access
1145030,@AmazonHelp She said the delivery people had try when that a lode of poo as I been in all day waiting for this stupid delivery  but no one has turn up,delivery_delay
105070,"@AmazonHelp Get home from work and see Amazon delivery driver outside my block. Excitedly approach him asking if he’s got anything for me, after 10 minutes of checking in the van, no 😒😂 Not sure what else I was expecting tbf. Will I ever get my package?",missing_delivered
1047968,@AmazonHelp Is there anyway to get it here sooner? Cancel that shipment and re ship the order overnight.,cancellation_request
1001973,WOW 3rd package lost by @115821 this month. Bravo 👏🏻 thanks for nothing 👏🏻👏🏻👏🏻👏🏻,other_unclear
1043610,@118919#AmazonNews_IN it shwing estimate date is 4oct and now 22oct its over 1 mnth to this order but still i dnt get prdct or refund,refund_request
1082344,@AmazonHelp money back and a proper investigation! Royal waste of my time and a pathetic Diwali thanks to you guys! Only frowns delivered!😡,refund_request
1004365,@AmazonHelp Now can you explain me what was your product delivery date?? according to u yr delivery date is 21st October 2017.,other_unclear
1052132,@115821 I been waiting for my package for damn near 2 weeks y'all got me fucked up,delivery_delay
1077745,Payed for same day shipping at 7am this morning &amp; my order is supposed to be here within the next 22minutes 🤔 @115821 I want a refund if it’s not here,refund_request
1121798,@AmazonHelp I don't have an email address linked to my account please provide another link,account_access
1065667,"@115850 - I made a Purchase payment declined, but the money deducted from my account. I Cancel the order when I get the amount return.?",cancellation_request
1146504,@AmazonHelp not received correspondence email which you are talking about.can't you help from my order number which is given in shared pic,missing_delivered
1081453,@AmazonHelp Hasn't arrived and it's 9:10pm,delivery_delay
1001110,@AmazonHelp Yes that worked! TY,other_unclear
1107930,@115830 on my tracking it says my package was delivered yesterday and signed by me. I haven’t received it though?!?!,missing_delivered
1065686,"Very, VERY disappointed, @116090. This is not the first time a book has been sent to me in an envelope and was damaged. Books need boxes!",damaged_item
490586,@AmazonHelp Well done Amazon. Package delivered to a porch we do not have. 24 hours to investigate. Seriously the shittiest customer service going. Should be proud. Multinational company cannot devlier a package,missing_delivered
1053459,"@AmazonHelp Happy to DM my account email address, and you can look at the 3 live chat complaints raised this week, advising from there?",account_access
1010798,"@AmazonHelp Yes, claim opened!  @118706 rep said they don't deliver pass the 2nd flr. Wasted my time waiting 4 delivery fr  @123967. Dont use them!!!",delivery_delay
103077,@AmazonHelp Amazon Prime delivery failure! I ordered a vacuum cleaner. It was promised for today by 8pm.  Waited all day!Confirmation emails &amp; tracking say out for delivery. At 5:30 I got this email. I’m not happy!😡 Pitiful service!,delivery_delay
1165690,@115821 #worstservice orders of prime members don't get delivered being more than 10days status shows delivered but product not received &amp; customer service keeps delaying #Amazon its not they way you treat prime members,missing_delivered
1003670,@115850 great customer service.refund ki koi jhinjhat nehin..bas ek e-mail hi kafi hai.👍,refund_request
1134965,"@AmazonHelp I've had an email, I want to know why it keeps being delayed? What is the reason? Am I ever going to get it? It's for a gift!",delivery_delay
1066736,"@115850 @127187 @AmazonHelp cust service told dat it can't b replcd nymore, only refund can be initiated. I'm in need, bt now I 2/3",refund_request
1021610,@AmazonHelp You need to wrap soft cover books to cover and pages don't get damage!!! Using bubble strip does not cut it. 1of3 damaged.,damaged_item
1034761,"@115850 @115823 Sweated myself!
Burnt diesel!
Got the damn thing returned to courier through my car!
Asked for refund!
Waited for refund!",refund_request
1066727,"@AmazonHelp @115850
Received this super packaged product. Waiting for justification!
Order: 404-0129973-6221120",delivery_delay
1010415,"@AmazonHelp I didn’t ask for it to be returned, just clicked refund since never showed",refund_request
1110246,@152044 only sad thing is that the plastic cover is broken on the sides :\ @AmazonHelp @115821,damaged_item
1028995,"@AmazonHelp it's not the bank, because the day after I talked to Amazon about the charges they disappeared. but then today I got charged again.",refund_request
1127981,"@115850 i ordered bean bag on 7th OCT still not received.
order no : 402-8267992-7563519
it's more than 18 day
worst customer support",missing_delivered
1035535,@117795 terrible service!! So disappointing Order was never delivered.Driver was rude.Finally got some assistance from nice CSR,missing_delivered
1118004,@115850 @115851 Replacement not provided for Defective piece delivery. I'm in no way going to suffer the loss of appr. Rs. 2270 for fresh order.,damaged_item
1011672,"@AmazonHelp It sends me here and I get this message. It is definitely my account email, have been using it for years. Phone # doesn’t work either",account_access
1039179,@AmazonHelp my order status is delivered but i did not receive my package. I checked my mailbox its not in there. What do i do,missing_delivered
1001092,@AmazonHelp You have not sent any correspondence today . Now kindly stop harassing,other_unclear
1122802,"@115850 @120543  Where is my parcel (Tracking ID: AW236399086IN). Delivery date passed, can't track after 19OCT. Poor service.",delivery_delay
1021039,"Hey @AmazonHelp, I've sat in my living room all day today waiting for a delivery, the status has been changed to failed to deliver, despite",delivery_delay
1117075,@115850 got a message saying Order# 171-8853927-6607529 delayed due to additional address requirement.Wondering what exactly is the issue,delivery_delay
1086764,@AmazonHelp Still not been delivered?! Is this how you expect your products to arrive? Had all-day yet it's now 20:56 and still no item 😲😑,delivery_delay
1168472,@116090 any log in issues right now??,account_access
1354465,@AmazonHelp so that customer doesn't get restless on not receiving refund within time. 🙂,refund_request
1120406,Thanks @AmazonHelp for replacing my broken charger and fixing the issue in 5 mins! Y'all are the best!,damaged_item
1069900,"@AmazonHelp I got offered extensions to Prime membership, vouchers for Prime movies etc. and none of them were ever followed through. I've had nothing.",prime_membership
1055245,"@AmazonHelp I cancelled but no refund was offered as my previous whinge was ignored. It's a pretty skanky way to get new customers, don't you think?",refund_request
1129293,"@AmazonHelp Contacted support. Was told that I need to call AmznLogistics. Asked for refund so I can purchase elsewhere. Yes, CONSTANT probs w/ carrier",refund_request
