tweet_id,customer_text,gold_intent,notes,source
1131240,@AmazonHelp There’s the usual button - did I solve your problem but no point in pressing that because it isn’t solved. Has been better recently but now😫,other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1115366,@AmazonHelp I'm pissed off with you people now...Not set shipping my order..Waiting Since 8th October!!!! WHAT TYPE OF SERVICE IS THIS!???,delivery_delay,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1080292,@AmazonHelp Have you got any advice for me?,other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1115009,"@120533 quand un colis revient chez vous suite à l'incompétence d'un livreur @132988, peut-on le récupérer? Ou on peut lui dire adieu?",other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1156249,"@AmazonHelp Évidemment ! Et ils ont d'abord envoyé un second produit. Et quand j'ai réclamé ""juste l'adaptateur à 6€"", ben on m'a répondu à côté. 1/2",other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1080333,@AmazonHelp Amazon EU S.a.r. L,other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1171358,@AmazonHelp Carrier was AMZL US,other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1054776,@AmazonHelp The order No is 204-5895601-1779530,other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1118604,"@AmazonHelp There was so much hassle in cash on delivery, once you take pre paid money, god knows how long I will have to struggle to get product!",refund_request,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1155449,i placed an amazon order almost two months ago that i never received but still got charged help @115821 @AmazonHelp,delivery_delay,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1175594,Where can I watch Outlander? @116618 @131996  @116602 @396538 @396539,other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
115818,Comprei meus livros na segunda e já chegaram. Como não amar a @117086 💕,other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1053537,"@115830 working your miracles again! 3 weeks early, my new iPad smart cover works a treat, and dad loves the @76105 book i ordered",other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1076322,@AmazonHelp I think so...,other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1026157,@AmazonHelp My order was not delivered. Apart from that wrong information was updated that no one was there to accept it.,delivery_delay,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1107228,Pedí una cosita en @116928 el 3/10 y decían que llegaría el 6 u 11 pero no llega🙄 Además no me han dado ni el número de seguimiento 😤,other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1073726,@AmazonHelp Yes order was placed on amazon.in and order no is 408-9230945-5135569 dt. 17/10/2017,other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
1019292,Is anyone else having problems with @116618?,other_unclear,Model-assisted label; not independently human-verified.,prepared_amazonhelp_dataset
