tweet_id,author_id,inbound,text,response_tweet_id,in_response_to_tweet_id,thread_id
10320,AmazonHelp,False,@117870 I'm sorry for any concern this causes! We'd like a chance to look into this with you by phone or chat here:  ^WT,,10321,10321
10321,117870,True,"@AmazonHelp I have a package that is showing as delivered last Friday, however it has not been and there is no note. Thanks","10320,10322",,10321
10623,AmazonHelp,False,@117944 I'm sorry about that! I would recommend logging out and clearing cache and cookies. Let us know if that works! ^LM,,10624,10624
10624,117944,True,Anyone else see an odd looking @115821 website? It looks very different. Not wrkng as easily and lots of red text,10623,,10624
10625,AmazonHelp,False,@117945 I'm glad you're enjoying the Oasis! You're welcome to send us feedback with this e-mail: __email__. ^SJ,,10626,10626
10626,117945,True,@117634 I love my new Kindle Oasis! Please tell me that immersion reading will be added in a future update?!,10625,,10626
10627,AmazonHelp,False,@117946 I'm sorry! Blue Shade isn't a supported feature on child profiles. ^WT,10628,10629,10629
10628,117946,True,@AmazonHelp why not? Does Amazon not care about children?,,10627,10629
10629,117946,True,@AmazonHelp why doesn't blue light filter work on kids account on the fire kids edition?,10627,,10629
10630,AmazonHelp,False,@117947 Garcias Jäcob Pintle :). Nos alegra mucho saber que hacemos bien nuestro trabajo. Tratamos de mejorar cada día más. 😃🤝 ^JJ,,10631,10631
10631,117947,True,"el soporte al cliente de @115821 es tan buena onda, que dan ánimos de contactarlos sólo para platicar con ellos :P",10630,,10631
10632,AmazonHelp,False,@117948 I'm sorry we let you down! Do you have a current order that has passed the delivery date? ^DD,10633,10634,10634
10633,117948,True,@AmazonHelp I have an order that was supposed to be here on the 25th which has not arrived yet.,10635,10632,10634
10635,AmazonHelp,False,"@117948 What does the current tracking indicate? Also, who does the tracking indicate as carrier?:  ^VB","10636,10637",10633,10634
10636,117948,True,"@AmazonHelp My apologies, it says now that the delivery date is October 31st. Still hasn't come though.",10638,10635,10634
10638,AmazonHelp,False,"@117948 Hi Mark!

Deliveries will run up until 21:00.  Let us know what happens.

Chuck H","10639,10640",10636,10634
10639,117948,True,"@AmazonHelp Thank you, I will.",,10638,10634
10640,117948,True,@AmazonHelp No package.,10641,10638,10634
10641,AmazonHelp,False,@117948 I'm sorry it hasn't arrived! Please get in touch with us here:  for available options. ^EZ,,10640,10634
10637,117948,True,"@AmazonHelp The tracking indicated as here, and then, it seemed to go back in time, saying it was not here anymore. I believe it's USPS",10642,10635,10634
10642,AmazonHelp,False,@117948 Please get in touch with us here:  and we'd be happy to review available options with you. ^EZ,10643,10637,10634
10643,117948,True,@AmazonHelp Does it matter that I purchased from,,10642,10634
10634,117948,True,How does amazon have late shipping? Multi billion dollar company @115821,10632,,10634
10644,AmazonHelp,False,@117949 We'd like to help! Have you noticed any unauthorized activity on your account? ^VB,,10645,10645
10645,117949,True,@AmazonHelp did amazon get hacked?,10644,,10645
10646,AmazonHelp,False,"@117950 I'm so sorry for the wait. If you have a moment, please contact us by chat or phone:  ^LH",,10647,10647
10647,117950,True,"@115821 paid for next day delivery.. had it confirmed and alas, no package #nothappy","10646,10648",,10647
10649,AmazonHelp,False,@117951 (1/2)意図しないご登録となり申し訳ありません。プライム無料体験をご利用ではなかったでしょうか。ご登録後に自動更新をオフに設定されていない場合、体験期間終了後に有料会員へと移行となります。 YM,,10650,10650
10650,117951,True,勝手にAmazonプライム会員になってて毎月会員費とられてた😇😇😇,"10649,10651",,10650
10652,AmazonHelp,False,@117952 I'm sorry your order hasn't arrived! We'd like to see how we can help so please reach us here:  ^DD,,10653,10653
