tweet_id,author_id,inbound,text,response_tweet_id,in_response_to_tweet_id,thread_id,amazon_response
1097377,378948,True,Amazonさんとタワレコさんから発送メールや支払いメール来ないけど見逃してるんかなそしたらやべぇ,1097376,,1097377,@378948 Amazonです。お支払い番号については出荷準備が開始された時点で発行されます。発行済みの場合はアカウントサービス内のメッセージセンターからもご参照いただけますのでご確認ください。SK
1107228,381321,True,Pedí una cosita en @116928 el 3/10 y decían que llegaría el 6 u 11 pero no llega🙄 Además no me han dado ni el número de seguimiento 😤,"1107226,1107235",,1107228,"@381321 Sin compartir información personal ni sensible por este medio,¿el producto era vendido y gestionado directamente por Amazon o 1/2"
1031087,363981,True,"@115825 Ein riesengroßes DANKESCHÖN, dass ihr die neue #Outlander  Folge so schnell eingestellt habt. Ihr seid spitze.",1031086,,1031087,@363981 Erstmal Danke fürs Danke! :-) Aber gerne. ;-) ^AK
1105756,380951,True,Amazonから不具合品寄越されてクッソイライラしてる,1105755,,1105756,"@380951 ご迷惑をおかけしております。発送元がアマゾンの場合は交換(可能な場合)または返品を承ります。
発送元が出品者の場合、対応について直接お問い合わせください。 ET"
115878,141800,True,@AmazonHelp Thanks but I’ve already written a half-dozen times and it’s abundantly clear no one bothers to read the actual text - it seems they look for keywords and paste a pat response - are they bots?,115876,115882,115883,"@141800 Your responses are answered by actual Representatives, not bots. Without disclosing personal info, can you provide more details about your issue or concern. We cannot access account info via Twitter but will try to help in any way. ^SH"
124690,143929,True,@AmazonHelp Ainda não!!! Mas vou pesquisar!,124691,124689,109786,@143929 Nós temos até eBook de graça! ✨ Pode conferir aqui:  ^CR
1135180,387433,True,@AmazonHelp En cuánto tiempo?,1135179,1135181,1135184,"@387433 Si el pedido se te cobró, recibirás un reembolso luego de 15 días naturales.

^Andrea V"
1121746,384598,True,@AmazonHelp おー、そうかそうか,"1121748,1121749",1121745,1121747,@384598 恐れ入ります。どうぞよろしくお願いいたします。TN
1146940,325013,True,"@AmazonHelp recentemente, fiz duas compras na amazon: um livro e o kindle paperwhite
na caso do livro, recebi uma cobrança de R$1 além do preço do livro","1146943,1146944",1146938,1146941,"@325013 (2/2) de compra de R$ 1,00. Essa autorização deverá ser liberada pelo banco, de acordo com suas políticas. ^LG"
1172182,395716,True,I'm not getting any love from @115830 😟The cards I ordered have been abandoned outside a door that doesn't look at all like mine. :(,1172180,,1172182,@395716 Oh no! Sorry for that! Reach out to us here:  so we can get this resolved for you! ^AD
